,gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj)
4308,Ndufaf7,0.2234158869211084,0.3586414142488353,0.8735022355123537,0.4453395615634831,0.05873597921060138
4309,Pja2,0.1731771228608521,0.4185366927894679,0.8959635707038881,0.37826646173895134,0.04770964811009947
4310,Qpct,0.8533701845409006,0.1140437329541726,0.669942813564748,0.9429285755184444,0.17396226716966848
4311,Man2a1,-0.6504843006552836,0.0034834573160987,0.1154408531974583,2.4579895066440876,0.9376404721295759
4312,Cyp1b1,-1.7677227673429736,3.09901363148802e-11,2.023785026929656e-08,10.508776513445452,7.693835621563771
4314,Vapa,0.1420061462057829,0.5562509318321927,0.9375331599748312,0.2547292484797934,0.028013362598210974
4315,Hnrnpll,-0.3075792832398583,0.1468956745758928,0.7211888094057533,0.8329909920618758,0.14195102078912053
4316,Ralbp1,0.051985964836834,0.7939697392314884,0.9758428056998992,0.100196049632379,0.010620135320371123
4317,Srsf7,0.2477394937229516,0.2079846300480589,0.7815407743638841,0.6819687579793138,0.10704835914281219
4318,Twsg1,-0.2233188311174593,0.2439502893686967,0.8145046958739932,0.6126986624004394,0.08910640750490817
4319,Ndufv2,0.3524603417186836,0.2566940629753781,0.8237730454919812,0.5905841759208816,0.08419242260733965
4320,Washc1,0.2801676957548519,0.3283533187467357,0.8588891973854352,0.48365858983440363,0.06606285953071364
4321,Washc2,-0.1676825048265584,0.4399528315874226,0.9008696265942449,0.3565938827851434,0.04533805535562132
4324,Nrxn1,-0.5192820129412395,0.5614894912142314,0.939489765817662,0.2506583675421127,0.027107946455552073
4325,Cacna1h,-0.4336769243134207,0.1596641193257711,0.736221165693678,0.7967926701459315,0.1329917011357039
4328,Tedc2,0.4618323188460373,0.2095617761808814,0.7823246666547982,0.6786879292626167,0.10661297625636502
4329,Lrpprc,-0.3834243195024467,0.1522119956920118,0.7275822548381827,0.8175511198548185,0.13811790158194087
4330,Atp6v0c,0.1660773027584255,0.6246544118725645,0.9530770619465522,0.2043601882986316,0.020871982651191397
